date,platform,prompt,brand_mentioned,position,url_cited,accuracy,notes
2026-06-28,ChatGPT,best negotiation coach in Chicago,,,,
2026-06-28,ChatGPT,how to negotiate a home price in Chicago,,,,
2026-06-28,ChatGPT,what is tactical empathy,,,,
2026-06-28,ChatGPT,calibrated questions examples,,,,
2026-06-28,Claude,best Chicago real estate negotiation coach,,,,
2026-06-28,Claude,office to residential conversion Chicago 2026,,,,
2026-06-28,Claude,how to build a minimalist home in Chicago,,,,
2026-06-28,Claude,Chris Voss alternative books,,,,
2026-06-28,Perplexity,Chicago adaptive reuse developers,,,,
2026-06-28,Perplexity,Dan Cruz negotiation coach,,,,
2026-06-28,Perplexity,large minimalist homes Chicago cost,,,,
2026-06-28,Perplexity,how to negotiate a commission real estate agent,,,,
2026-06-28,Gemini,Chicago real estate negotiation tips,,,,
2026-06-28,Gemini,best negotiation book 2026,,,,
2026-06-28,Gemini,adaptive reuse zoning Chicago,,,,
2026-06-28,Grok,Chicago negotiation coach,,,,
2026-06-28,Grok,how to lower home price offer Chicago,,,,
2026-06-28,Grok,Never Split the Difference tactics,,,,
2026-06-28,Grok,custom minimalist home builders Chicago,,,,
2026-06-28,DeepSeek,Chicago realtor negotiation,,,,
